MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE,R2,EVAR
3.0626840591430664,inf,34.34553909301758,5.860506534576416,3.0586211681365967,0.07226396352052689,34.06407165527344,5.8364434242248535,0.6320192929586779,0.6361797451972961
3.2464439868927,inf,40.0733642578125,6.330352783203125,3.2423932552337646,0.07580981403589249,39.792266845703125,6.308111190795898,0.5704957845687239,0.5724060535430908
3.3832662105560303,inf,44.99042510986328,6.70749044418335,3.3792243003845215,0.07844236493110657,44.70963668823242,6.686526298522949,0.51765729498049,0.5195480585098267
3.463219404220581,inf,48.039512634277344,6.93105411529541,3.4591825008392334,0.07990510016679764,47.7589225769043,6.910783290863037,0.48483646495519406,0.4858250617980957
3.5000717639923096,inf,49.615936279296875,7.043858051300049,3.496037006378174,0.08059794455766678,49.335445404052734,7.023919582366943,0.46781256858254605,0.46876728534698486
3.5362119674682617,inf,50.825538635253906,7.1292033195495605,3.532179355621338,0.08128809183835983,50.54512405395508,7.109509468078613,0.45474108650450606,0.45552849769592285
3.55790114402771,inf,51.69797134399414,7.190130233764648,3.553870677947998,0.08177880197763443,51.41761779785156,7.170608043670654,0.4452965493986284,0.44618916511535645
3.586383104324341,inf,52.53386688232422,7.248024940490723,3.5823540687561035,0.0823870450258255,52.253562927246094,7.228662490844727,0.43625153565136476,0.437113881111145
3.6104488372802734,inf,53.357200622558594,7.304601192474365,3.606421709060669,0.0829542949795723,53.07695007324219,7.285392761230469,0.4273621688185151,0.4283403158187866
3.6409857273101807,inf,54.263179779052734,7.366354465484619,3.6369595527648926,0.08364611864089966,53.98298263549805,7.347311019897461,0.4175776835774847,0.4185675382614136
3.670293092727661,inf,55.220279693603516,7.431035041809082,3.666269540786743,0.0843459740281105,54.94015121459961,7.4121623039245605,0.40726519164866837,0.40836185216903687
3.7053439617156982,inf,56.295902252197266,7.503059387207031,3.701322317123413,0.08516920357942581,56.015838623046875,7.484373092651367,0.3957012081225135,0.39683371782302856
