MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE,R2,EVAR
0.8626150488853455,inf,2.717468500137329,1.6484745740890503,0.8584131002426147,0.016526181250810623,2.4340903759002686,1.5601571798324585,0.9708848400023932,0.9709725975990295
1.1393827199935913,inf,5.442042350769043,2.3328185081481934,1.1351970434188843,0.02297058515250683,5.158600807189941,2.2712552547454834,0.9416724866328421,0.9419451951980591
1.3291195631027222,inf,8.142404556274414,2.853489875793457,1.3249398469924927,0.027879973873496056,7.858388423919678,2.803281784057617,0.912705225681673,0.9131343364715576
1.4719184637069702,inf,10.592631340026855,3.2546322345733643,1.4677423238754272,0.03181647136807442,10.308055877685547,3.210616111755371,0.8864073089936948,0.8871464133262634
1.579641580581665,inf,12.646934509277344,3.556252956390381,1.5754718780517578,0.035000234842300415,12.362451553344727,3.5160279273986816,0.8643472220115813,0.8652356863021851
1.6674387454986572,inf,14.388792991638184,3.7932562828063965,1.663274884223938,0.03760514035820961,14.104438781738281,3.755587577819824,0.8456363101259897,0.8467196226119995
1.7382516860961914,inf,15.838128089904785,3.9797146320343018,1.7340928316116333,0.039755623787641525,15.553923606872559,3.9438462257385254,0.8300617183415846,0.8312495946884155
1.798066258430481,inf,17.07942008972168,4.132725715637207,1.7939101457595825,0.04144715890288353,16.795137405395508,4.09818696975708,0.8167183067024559,0.8180202841758728
1.848864197731018,inf,18.10677146911621,4.255205154418945,1.8447091579437256,0.042805157601833344,17.822284698486328,4.221644878387451,0.8056753003518803,0.806934118270874
1.8972398042678833,inf,19.074756622314453,4.367465496063232,1.8930879831314087,0.04411626234650612,18.79032325744629,4.334780693054199,0.7952651379335345,0.7966846227645874
1.9410141706466675,inf,19.976205825805664,4.469474792480469,1.9368641376495361,0.04511890932917595,19.69174575805664,4.437538146972656,0.785575292312492,0.786797821521759
1.9867687225341797,inf,20.9239444732666,4.574269771575928,1.9826200008392334,0.04624219238758087,20.639328002929688,4.543052673339844,0.7753954457249894,0.7765674591064453
