MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE,R2,EVAR
0.8964346647262573,inf,2.7872092723846436,1.6694936752319336,0.8921679854393005,0.0171001385897398,2.4996166229248047,1.5810176134109497,0.9701148378970407,0.9701952338218689
1.1705477237701416,inf,5.522789478302002,2.3500616550445557,1.1662967205047607,0.023503609001636505,5.235045909881592,2.28802227973938,0.9407615505789455,0.9407630562782288
1.3649152517318726,inf,8.36586856842041,2.892381191253662,1.3606719970703125,0.028649281710386276,8.077674865722656,2.842125177383423,0.9102399663577213,0.9102635979652405
1.509584665298462,inf,11.01843547821045,3.3194029331207275,1.5053460597991943,0.03283330425620079,10.72978687286377,3.275635242462158,0.8817498748563362,0.8818400502204895
1.6181261539459229,inf,13.296836853027344,3.6464827060699463,1.6138930320739746,0.036104317754507065,13.008213996887207,3.6066901683807373,0.8572694184822214,0.857498824596405
1.704541563987732,inf,15.14803695678711,3.892047882080078,1.7003161907196045,0.03870972618460655,14.859723091125488,3.8548312187194824,0.8373705602274785,0.8377360105514526
1.774346947669983,inf,16.620380401611328,4.076809883117676,1.770125389099121,0.040632300078868866,16.332111358642578,4.0413007736206055,0.8215391806040733,0.8219354748725891
1.8309640884399414,inf,17.79656219482422,4.218597412109375,1.8267464637756348,0.04227897897362709,17.508398056030273,4.1843037605285645,0.8088879539183403,0.8094503283500671
1.8795608282089233,inf,18.80756950378418,4.3367695808410645,1.8753451108932495,0.04360875114798546,18.51923179626465,4.3033976554870605,0.7980147151054668,0.7986875176429749
1.9228942394256592,inf,19.68016242980957,4.436233043670654,1.9186811447143555,0.04482044652104378,19.391923904418945,4.403626441955566,0.7886247916885154,0.7895654439926147
1.9641356468200684,inf,20.512338638305664,4.529055118560791,1.9599261283874512,0.045962247997522354,20.22425079345703,4.497138023376465,0.7796722291268612,0.7808212041854858
2.0034821033477783,inf,21.27387237548828,4.612360954284668,1.999273657798767,0.046958450227975845,20.98565673828125,4.581010341644287,0.771486996204359,0.7726465463638306
