MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE,R2,EVAR
1.5640071630477905,inf,7.216763973236084,2.686403512954712,1.55985426902771,0.031182903796434402,6.934227466583252,2.6332921981811523,0.9226790602113126,0.9227209091186523
1.7701841592788696,inf,10.243925094604492,3.200613260269165,1.7660518884658813,0.036548011004924774,9.962387084960938,3.156324863433838,0.8902061548723319,0.8903730511665344
1.9453845024108887,inf,13.377091407775879,3.657470703125,1.9412565231323242,0.041508302092552185,13.095003128051758,3.618701934814453,0.8565841109381956,0.857089102268219
2.092376947402954,inf,16.230295181274414,4.028684139251709,2.0882632732391357,0.04563704505562782,15.949136734008789,3.9936370849609375,0.8259504126323373,0.8260526657104492
2.2204062938690186,inf,18.916927337646484,4.349359512329102,2.2162885665893555,0.04946361854672432,18.634328842163086,4.316749572753906,0.7970944220701568,0.7976800799369812
2.334646224975586,inf,21.257781982421875,4.610616207122803,2.33054518699646,0.05262824892997742,20.9765567779541,4.58001708984375,0.7719454526938426,0.772113561630249
2.435192823410034,inf,23.45833969116211,4.843380928039551,2.431100845336914,0.05553374066948891,23.177637100219727,4.8143157958984375,0.748299210275275,0.7486324310302734
2.5267467498779297,inf,25.505212783813477,5.050268650054932,2.522662401199341,0.05817293003201485,25.224895477294922,5.022439002990723,0.7262998984255113,0.7269415855407715
2.6130568981170654,inf,27.399805068969727,5.234482288360596,2.6089770793914795,0.060534026473760605,27.11942481994629,5.207631587982178,0.7059410290343092,0.706676721572876
2.696640729904175,inf,29.25853729248047,5.409116268157959,2.692563056945801,0.06283505260944366,28.977834701538086,5.383106231689453,0.6859596796918588,0.6872217655181885
2.7779436111450195,inf,30.98881721496582,5.566760063171387,2.773869276046753,0.06500238180160522,30.708026885986328,5.541482448577881,0.6673658436536647,0.6685897707939148
2.8601295948028564,inf,32.697818756103516,5.71820068359375,2.8560733795166016,0.06718482077121735,32.418785095214844,5.69374942779541,0.6490107829905143,0.6501748561859131
