MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE,R2,EVAR
0.8894860744476318,inf,2.780489683151245,1.6674799919128418,0.8852085471153259,0.01703246496617794,2.4915273189544678,1.578457236289978,0.9701868825764974,0.9702814221382141
1.1764039993286133,inf,5.678406238555908,2.3829407691955566,1.1721419095993042,0.023662522435188293,5.389193534851074,2.3214635848999023,0.9390923735144983,0.9393123984336853
1.3784195184707642,inf,8.749340057373047,2.957928419113159,1.3741635084152222,0.028817880898714066,8.459376335144043,2.9085006713867188,0.9061255766301042,0.9065098762512207
1.5291712284088135,inf,11.575736999511719,3.402313470840454,1.5249214172363281,0.032964833080768585,11.285478591918945,3.359386682510376,0.8757689090242062,0.8763108253479004
1.6433173418045044,inf,13.951725959777832,3.735200881958008,1.639074683189392,0.03624669462442398,13.661649703979492,3.6961669921875,0.850239731338905,0.8509206771850586
1.7336676120758057,inf,15.903244018554688,3.987887144088745,1.72943115234375,0.03888734057545662,15.61332893371582,3.9513704776763916,0.8292626379923189,0.8300636410713196
1.8077757358551025,inf,17.52054214477539,4.185754776000977,1.8035444021224976,0.04106777533888817,17.23080062866211,4.151000022888184,0.8118737184737608,0.8127777576446533
1.8691078424453735,inf,18.860816955566406,4.342904090881348,1.8648793697357178,0.04288376495242119,18.571002960205078,4.309408664703369,0.7974592074145841,0.7984493970870972
1.9212241172790527,inf,19.975364685058594,4.469380855560303,1.9169998168945312,0.0444270484149456,19.685693740844727,4.436856269836426,0.7854730880361305,0.786533772945404
1.9661822319030762,inf,20.92136001586914,4.5739874839782715,1.961962103843689,0.04572798311710358,20.631929397583008,4.542238235473633,0.7752936605917731,0.7764111161231995
2.0066704750061035,inf,21.75334358215332,4.664048194885254,2.002454996109009,0.04683608189225197,21.464195251464844,4.632946491241455,0.7663423058838486,0.7674992680549622
2.0459678173065186,inf,22.521183013916016,4.7456488609313965,2.041759729385376,0.047871071845293045,22.232696533203125,4.715156078338623,0.7580890138276581,0.7592743039131165
